city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Puerto Rico,-26.796,-55.024,293.08,97,18,1.18,AR,1633988519
Bonnyville,54.2668,-110.735,278.77,60,100,5.65,CA,1633988519
Pontianak,-0.0333,109.3333,299.14,94,90,2.57,ID,1633988519
Maceió,-9.6658,-35.7353,299.84,83,0,4.63,BR,1633988520
Lavrentiya,65.5833,-171.0,272.38,82,100,4.4,RU,1633988520
Polson,47.6936,-114.1632,284.66,50,100,0.45,US,1633988521
Bandarbeyla,9.4942,50.8122,298.78,88,80,9.3,SO,1633988521
Muhos,64.808,25.9931,280.87,95,100,1.21,FI,1633988521
São Gabriel da Cachoeira,-0.1303,-67.0892,300.38,80,95,2.41,BR,1633988522
Halden,59.1226,11.3871,280.39,90,76,1.26,NO,1633988523
Bontang,0.1333,117.5,298.49,89,100,3.39,ID,1633988523
Guerrero Negro,27.9769,-114.0611,296.45,60,0,6.99,MX,1633988523
Bouar,5.934,15.596,291.59,86,98,0.96,CF,1633988524
Kharan,28.5833,65.4167,289.04,13,0,4.12,PK,1633988524
Grand-Lahou,5.1367,-5.0242,298.41,93,75,3.26,CI,1633988525
Kommunisticheskiy,61.6789,64.4819,272.31,93,97,1.21,RU,1633988525
Santa María del Oro,25.9333,-105.3667,301.63,28,2,5.49,MX,1633988525
Saint Paul Harbor,57.79,-152.4072,279.88,76,90,7.72,US,1633988526
Ust-Kuyga,70.0167,135.6,267.07,96,100,0.85,RU,1633988526
Porto-Novo,6.4965,2.6036,301.05,87,15,2.66,BJ,1633988526
Uthal,25.8072,66.6219,300.21,55,0,1.65,PK,1633988527
Pundaguitan,6.3711,126.1689,301.8,74,100,6.04,PH,1633988527
Jumla,29.2747,82.1838,283.08,65,0,2.43,NP,1633988527
Khangarh,29.9173,71.1618,297.19,36,0,3.6,PK,1633988528
Yar,58.249,52.1026,278.26,86,92,2.9,RU,1633988528
Christchurch,-43.5333,172.6333,280.94,90,75,4.92,NZ,1633988449
Arona,28.0996,-16.681,293.05,65,75,4.63,ES,1633988529
Isangel,-19.55,169.2667,299.21,69,20,4.12,VU,1633988529
Boyabat,41.4689,34.7667,287.7,85,4,0.71,TR,1633988529
Tuscaloosa,33.2098,-87.5692,301.4,64,1,4.12,US,1633988530
Huilong,31.8111,121.655,294.28,68,99,8.65,CN,1633988530
Tura,25.5198,90.2201,295.65,92,4,1.71,IN,1633988530
Lompoc,34.6391,-120.4579,297.35,60,1,9.26,US,1633988531
Golden,39.7555,-105.2211,294.92,27,20,0.45,US,1633988531
Alice,27.7523,-98.0697,303.0,60,90,6.69,US,1633988376
Tiksi,71.6872,128.8694,270.32,99,100,1.4,RU,1633988532
Calvinia,-31.4707,19.776,293.31,14,80,0.49,ZA,1633988532
Thompson,55.7435,-97.8558,282.24,87,90,1.54,CA,1633988533
Tuatapere,-46.1333,167.6833,279.57,81,99,5.34,NZ,1633988533
Bemidji,47.4736,-94.8803,293.31,54,1,3.6,US,1633988533
Port Blair,11.6667,92.75,299.17,89,40,1.03,IN,1633988534
Arman',59.7,150.1667,272.15,57,100,1.65,RU,1633988534
Bianzhuang,34.8486,118.0447,284.99,63,82,4.43,CN,1633988535
Portage,41.1667,-81.1998,299.14,64,1,3.6,US,1633988535
Hong Kong,22.2855,114.1577,297.77,70,100,0.89,HK,1633988509
Wuxue,29.8506,115.5525,289.64,79,73,1.08,CN,1633988535
Chui,-33.6971,-53.4616,288.85,95,100,6.51,UY,1633988536
Port Hedland,-20.3167,118.5667,290.18,94,2,2.57,AU,1633988536
Pevek,69.7008,170.3133,264.7,90,100,3.34,RU,1633988536
Karpathos,35.507,27.2132,294.13,60,1,4.63,GR,1633988537
Santa Isabel Rio Negro,-0.4139,-65.0192,300.28,77,84,0.69,BR,1633988537
Avarua,-21.2078,-159.775,299.18,83,75,5.66,CK,1633988537
